"Reference","Qty","Value","Footprint","Datasheet","Tecnologia"
"C1","1","100uF","Capacitor_SMD:CP_Elec_6.3x7.7","","SMD"
"C2","1","220uF","Capacitor_SMD:CP_Elec_8x10.5","","SMD"
"R1","1","220","Resistor_SMD:R_1206_3216Metric","","SMD"
"R2,R5","2","10k","Resistor_SMD:R_1206_3216Metric","","SMD"
"R3","1","4.7k","Resistor_SMD:R_1206_3216Metric","","SMD"
"R4","1","1k","Resistor_SMD:R_1206_3216Metric","","SMD"
"D1","1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","THT"
"D2","1","1N5822","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf","THT"
"HS1","1","Heatsink","Heatsink:Heatsink_Fischer_SK104-STC-STIC_35x13mm_2xDrill2.5mm","","THT"
"J1,J2","2","Conn_01x19","Connector_PinHeader_2.54mm:PinHeader_1x19_P2.54mm_Vertical","","THT"
"J3,J4","2","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","","THT"
"J5","1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","THT"
"K1","1","Relay_SPDT","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","","THT"
"L1","1","33uH","Inductor_THT:L_Radial_D10.5mm_P5.00mm_Abacron_AISR-01","","THT"
"Q1","1","IRLZ44N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf","THT"
"Q2","1","BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","THT"
"U1","1","DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","THT"
"U2","1","LM2596S-5","Package_TO_SOT_THT:TO-220-5_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf","THT"
